   Kintetic: 2.5002497974195986e-05        Potential: -0.0012663021333308069       total: 0.0012913046313050027
   Kintetic: 2.0374535251094083e-05        Potential: -0.0012646196827530722       total: 0.0012849942180041664
   Kintetic: 1.6488613116211046e-05        Potential: -0.0012629109657499224       total: 0.0012793995788661337
   Kintetic: 1.3722128225936722e-05        Potential: -0.0012615593685107909       total: 0.0012752814967367276
   Kintetic: 1.2135491037753278e-05        Potential: -0.0012607342807022907       total: 0.001272869771740044
   Kintetic: 1.158973024903922e-05        Potential: -0.0012604544705736949       total: 0.001272044200822734
   Kintetic: 1.1824609164589996e-05        Potential: -0.0012606447690341144       total: 0.0012724693781987044
   Kintetic: 1.2516755706850328e-05        Potential: -0.0012611742277832535       total: 0.0012736909834901039
   Kintetic: 1.3341365988538825e-05        Potential: -0.0012618860022132823       total: 0.0012752273682018213
   Kintetic: 1.4044268166874723e-05        Potential: -0.0012626295832518098       total: 0.0012766738514186846
   Kintetic: 1.450668705924188e-05        Potential: -0.0012632967852248247       total: 0.0012778034722840666
   Kintetic: 1.477050100230915e-05        Potential: -0.00126385114818874       total: 0.001278621649191049
   Kintetic: 1.5002378758886046e-05        Potential: -0.0012643350047912903       total: 0.0012793373835501764
   Kintetic: 1.5403742743694163e-05        Potential: -0.001264845526723479       total: 0.0012802492694671732
   Kintetic: 1.609633596519292e-05        Potential: -0.0012654854781031224       total: 0.0012815818140683155
   Kintetic: 1.7021765933081308e-05        Potential: -0.0012663049152253727       total: 0.001283326681158454
   Kintetic: 1.790123540192789e-05        Potential: -0.0012672540910626548       total: 0.0012851553264645826
   Kintetic: 1.8307814043786707e-05        Potential: -0.001268171714242985       total: 0.0012864795282867716
   Kintetic: 1.786342436269656e-05        Potential: -0.0012688328790506401       total: 0.0012866963034133367
   Kintetic: 1.6461410196908996e-05        Potential: -0.0012690547998402246       total: 0.0012855162100371335
   Kintetic: 1.4347266243196853e-05        Potential: -0.0012688028435198719       total: 0.0012831501097630687
   Kintetic: 1.2001183649284542e-05        Potential: -0.0012682171745163056       total: 0.00128021835816559
   Kintetic: 9.936569697627915e-06        Potential: -0.0012675441828983649       total: 0.0012774807525959928
   Kintetic: 8.547821048883593e-06        Potential: -0.0012670349908917317       total: 0.0012755828119406154
   Kintetic: 8.042684616342258e-06        Potential: -0.001266873408746832       total: 0.0012749160933631742
   Kintetic: 8.426658369122911e-06        Potential: -0.001267145887134779       total: 0.0012755725455039018
   Kintetic: 9.507568229482677e-06        Potential: -0.0012678358825821572       total: 0.00127734345081164
   Kintetic: 1.0919462551871285e-05        Potential: -0.001268828224334773       total: 0.0012797476868866443
   Kintetic: 1.2189205449231502e-05        Potential: -0.00126992497050649       total: 0.0012821141759557216
   Kintetic: 1.2860549456113546e-05        Potential: -0.0012708843885653647       total: 0.0012837449380214783
   Kintetic: 1.2642412003773622e-05        Potential: -0.0012714871221205265       total: 0.0012841295341243
   Kintetic: 1.1504599054760579e-05        Potential: -0.0012716087359166302       total: 0.0012831133349713907
   Kintetic: 9.66897249969346e-06        Potential: -0.001271260369769767       total: 0.0012809293422694605
   Kintetic: 7.519568537385739e-06        Potential: -0.0012705763382051339       total: 0.0012780959067425198
   Kintetic: 5.495199313442473e-06        Potential: -0.0012697644858447896       total: 0.001275259685158232
   Kintetic: 4.0053046088612735e-06        Potential: -0.0012690512129313735       total: 0.001273056517540235
   Kintetic: 3.3704123460343943e-06        Potential: -0.001268639674444948       total: 0.0012720100867909822
   Kintetic: 3.768040683258932e-06        Potential: -0.0012686801745826679       total: 0.0012724482152659269
   Kintetic: 5.16562512113202e-06        Potential: -0.0012692425392255224       total: 0.0012744081643466544
   Kintetic: 7.244787793570719e-06        Potential: -0.0012702823729260656       total: 0.0012775271607196365
   Kintetic: 9.375311009391701e-06        Potential: -0.001271607335450223       total: 0.0012809826464596147
   Kintetic: 1.075498772295906e-05        Potential: -0.0012728780292916874       total: 0.0012836330170146464
   Kintetic: 1.076577967139422e-05        Potential: -0.001273698903067978       total: 0.0012844646827393723
   Kintetic: 9.336408160368625e-06        Potential: -0.0012738041115863297       total: 0.0012831405197466985
   Kintetic: 6.976351127551917e-06        Potential: -0.001273216289547277       total: 0.0012801926406748288
   Kintetic: 4.466468333813888e-06        Potential: -0.0012722296106836293       total: 0.0012766960790174433
   Kintetic: 2.509923257238228e-06        Potential: -0.0012712409008714392       total: 0.0012737508241286773
   Kintetic: 1.5474171298097849e-06        Potential: -0.0012705828190690287       total: 0.0012721302361988383
   Kintetic: 1.7142315249601386e-06        Potential: -0.0012704445758787671       total: 0.0012721588074037272
   Kintetic: 2.8519266451467105e-06        Potential: -0.0012708590682534244       total: 0.0012737109948985712
   Kintetic: 4.541774958481344e-06        Potential: -0.0012717138296957874       total: 0.0012762556046542685
