   Kintetic: 4.62304829953463        Potential: 52.292118426642254       total: -47.669070127107624
   Kintetic: 4.63115629328443        Potential: 52.30022658037353       total: -47.6690702870891
   Kintetic: 4.639227542046031        Potential: 52.30829799266966       total: -47.66907045062363
   Kintetic: 4.647259516539926        Potential: 52.31633013420191       total: -47.66907061766199
   Kintetic: 4.6552496422944145        Potential: 52.324320430442015       total: -47.6690707881476
   Kintetic: 4.663195300556804        Potential: 52.33226626257306       total: -47.66907096201625
   Kintetic: 4.671093829307444        Potential: 52.340164968503366       total: -47.66907113919592
   Kintetic: 4.678942524379341        Potential: 52.34801384398585       total: -47.6690713196065
   Kintetic: 4.68673864068599        Potential: 52.35581014384568       total: -47.66907150315969
   Kintetic: 4.694479393559832        Potential: 52.36355108331854       total: -47.66907168975871
   Kintetic: 4.702161960203609        Potential: 52.37123383950182       total: -47.66907187929821
   Kintetic: 4.709783481256596        Potential: 52.37885555292069       total: -47.6690720716641
   Kintetic: 4.717341062477519        Potential: 52.3864133292109       total: -47.66907226673338
   Kintetic: 4.724831776545656        Potential: 52.39390424091977       total: -47.66907246437411
   Kintetic: 4.732252664981364        Potential: 52.40132532942662       total: -47.66907266444525
   Kintetic: 4.73960074018694        Potential: 52.40867360698357       total: -47.669072866796625
   Kintetic: 4.746872987608435        Potential: 52.41594605887734       total: -47.669073071268905
   Kintetic: 4.754066368018651        Potential: 52.4231396457122       total: -47.66907327769355
   Kintetic: 4.761177819921213        Potential: 52.430251305814096       total: -47.66907348589288
   Kintetic: 4.7682042620751925        Potential: 52.43727795775532       total: -47.669073695680126
   Kintetic: 4.775142596139386        Potential: 52.444216502998856       total: -47.66907390685947
   Kintetic: 4.781989709434871        Potential: 52.45106382866106       total: -47.669074119226195
   Kintetic: 4.788742477824069        Potential: 52.45781681039091       total: -47.66907433256684
   Kintetic: 4.795397768704058        Potential: 52.46447231536344       total: -47.66907454665938
   Kintetic: 4.801952444111403        Potential: 52.47102720538486       total: -47.66907476127346
   Kintetic: 4.808403363935291        Potential: 52.477478340105904       total: -47.66907497617061
   Kintetic: 4.814747389235258        Potential: 52.483822580339925       total: -47.66907519110467
   Kintetic: 4.820981385659282        Potential: 52.49005679148126       total: -47.66907540582198
   Kintetic: 4.827102226957512        Potential: 52.49617784701939       total: -47.669075620061875
   Kintetic: 4.833106798586385        Potential: 52.502182632143445       total: -47.66907583355706
   Kintetic: 4.838992001397356        Potential: 52.50806804743143       total: -47.66907604603407
   Kintetic: 4.844754755403953        Potential: 52.51383101261774       total: -47.66907625721379
   Kintetic: 4.850392003620374        Potential: 52.51946847043235       total: -47.66907646681198
   Kintetic: 4.855900715964321        Potential: 52.52497739050417       total: -47.66907667453985
   Kintetic: 4.861277893216268        Potential: 52.53035477332096       total: -47.66907688010469
   Kintetic: 4.866520571026922        Potential: 52.535597654237435       total: -47.66907708321051
   Kintetic: 4.871625823964109        Potential: 52.54070310752284       total: -47.66907728355873
   Kintetic: 4.8765907695899635        Potential: 52.545668250438844       total: -47.669077480848884
   Kintetic: 4.8814125725588084        Potential: 52.55049024733818       total: -47.66907767477937
   Kintetic: 4.88608844872578        Potential: 52.555166313774045       total: -47.669077865048266
   Kintetic: 4.8906156692558636        Potential: 52.5596937206099       total: -47.669078051354035
   Kintetic: 4.894991564722727        Potential: 52.564069798119185       total: -47.669078233396455
   Kintetic: 4.899213529186417        Potential: 52.5682919400638       total: -47.66907841087738
   Kintetic: 4.9032790242387705        Potential: 52.572357607740415       total: -47.669078583501644
   Kintetic: 4.907185583005201        Potential: 52.57626433398308       total: -47.66907875097788
   Kintetic: 4.9109308140913495        Potential: 52.580009727110806       total: -47.669078913019455
   Kintetic: 4.914512405463025        Potential: 52.58359147480834       total: -47.669079069345315
   Kintetic: 4.91792812824778        Potential: 52.587007347928626       total: -47.669079219680846
   Kintetic: 4.9211758404464945        Potential: 52.590255204205306       total: -47.66907936375881
   Kintetic: 4.924253490543418        Potential: 52.59333299186358       total: -47.66907950132017
   Kintetic: 4.927159121003186        Potential: 52.59623875311812       total: -47.669079632114936
   Kintetic: 4.929890871643567        Potential: 52.5989706275466       total: -47.669079755903034
   Kintetic: 4.932446982872898        Potential: 52.60152685532802       total: -47.66907987245512
   Kintetic: 4.9348257987814375        Potential: 52.60390578033477       total: -47.66907998155333
   Kintetic: 4.93702577007626        Potential: 52.606105853068364       total: -47.6690800829921
   Kintetic: 4.939045456849703        Potential: 52.60812563342856       total: -47.66908017657885
   Kintetic: 4.940883531171803        Potential: 52.609963793306484       total: -47.669080262134685
   Kintetic: 4.942538779497726        Potential: 52.611619118992735       total: -47.66908033949501
   Kintetic: 4.944010104881722        Potential: 52.6130905133919       total: -47.66908040851018
   Kintetic: 4.945296528989768        Potential: 52.61437699803579       total: -47.66908046904602
   Kintetic: 4.946397193903705        Potential: 52.615477714888       total: -47.669080520984295
   Kintetic: 4.947311363710385        Potential: 52.61639192793358       total: -47.669080564223194
   Kintetic: 4.948038425870086        Potential: 52.61711902454776       total: -47.669080598677674
   Kintetic: 4.948577892359214        Potential: 52.61765851663901       total: -47.6690806242798
   Kintetic: 4.948929400583118        Potential: 52.618010041562094       total: -47.669080640978976
   Kintetic: 4.9490927140556895        Potential: 52.61817336279786       total: -47.669080648742174
   Kintetic: 4.94906772284322        Potential: 52.61814837039723       total: -47.66908064755401
   Kintetic: 4.948854443770913        Potential: 52.61793508118776       total: -47.66908063741685
   Kintetic: 4.948453020391269        Potential: 52.61753363874202       total: -47.66908061835075
   Kintetic: 4.947863722714471        Potential: 52.6169443131079       total: -47.66908059039343
   Kintetic: 4.947086946701761        Potential: 52.61616750030186       total: -47.669080553600104
   Kintetic: 4.94612321352366        Potential: 52.615203721566935       total: -47.66908050804327
   Kintetic: 4.9449731685857845        Potential: 52.61405362239826       total: -47.66908045381248
   Kintetic: 4.943637580325788        Potential: 52.61271797133969       total: -47.66908039101391
   Kintetic: 4.9421173387858515        Potential: 52.61119765855593       total: -47.66908031977008
   Kintetic: 4.940413453965878        Potential: 52.60949369418521       total: -47.66908024021933
   Kintetic: 4.938527053963352        Potential: 52.60760720647869       total: -47.669080152515335
   Kintetic: 4.936459382906543        Potential: 52.60553943973307       total: -47.66908005682653
   Kintetic: 4.934211798688407        Potential: 52.603291752023914       total: -47.669079953335505
   Kintetic: 4.931785770509201        Potential: 52.60086561274756       total: -47.66907984223836
   Kintetic: 4.929182876236428        Potential: 52.598262599980444       total: -47.66907972374402
   Kintetic: 4.926404799591273        Potential: 52.5954843976647       total: -47.669079598073424
   Kintetic: 4.923453327171179        Potential: 52.59253279263006       total: -47.66907946545888
   Kintetic: 4.920330345318702        Potential: 52.589409671461866       total: -47.66907932614316
   Kintetic: 4.917037836847092        Potential: 52.58611701722583       total: -47.66907918037874
   Kintetic: 4.9135778776334815        Potential: 52.58265690606039       total: -47.669079028426914
   Kintetic: 4.909952633090763        Potential: 52.579031503647734       total: -47.66907887055697
   Kintetic: 4.906164354529471        Potential: 52.57524306157479       total: -47.669078707045315
   Kintetic: 4.902215375421191        Potential: 52.57129391359575       total: -47.66907853817456
   Kintetic: 4.898108107575036        Potential: 52.56718647180773       total: -47.669078364232696
   Kintetic: 4.893845037238875        Potential: 52.562923222751046       total: -47.66907818551217
